Time,Cur.,Imp.,Event,Actual,Forecast,Previous,
"Sunday, May 11, 2025",,,,,,,
18:00,USD,Yellow,FOMC Member Barkin Speaks,,,,
,,,,,,,
23:50,JPY,Orange,Adjusted Current Account (Mar),2.72T,2.42T,2.91T,
,,,,,,,
23:50,JPY,Yellow,Bank Lending (YoY) (Apr),2.4%,2.8%,2.8%,
,,,,,,,
23:50,JPY,Orange,Current Account n.s.a. (Mar),3.678T,3.678T,4.061T,
,,,,,,,
"Monday, May 12, 2025",,,,,,,
All Day,,Holiday,Singapore - Vesak Day,,,,
05:00,JPY,Yellow,Economy Watchers Current Index (Apr),42.6,44.7,45.1,
,,,,,,,
10:00,EUR,Orange,Eurogroup Meetings,,,,
,,,,,,,
11:15,EUR,Yellow,German 12-Month Bubill Auction,1.873%,,1.864%,
,,,,,,,
11:25,BRL,Yellow,BCB Focus Market Readout,,,,
,,,,,,,
12:50,GBP,Orange,BoE MPC Member Mann Speaks,,,,
,,,,,,,
13:00,EUR,Yellow,French 12-Month BTF Auction,,,1.901%,
,,,,,,,
13:00,EUR,Yellow,French 3-Month BTF Auction,,,2.072%,
,,,,,,,
13:00,EUR,Yellow,French 6-Month BTF Auction,,,1.982%,
,,,,,,,
15:00,EUR,Orange,German Buba Vice President Buch Speaks,,,,
,,,,,,,
15:30,USD,Yellow,3-Month Bill Auction,,,4.220%,
,,,,,,,
15:30,USD,Yellow,6-Month Bill Auction,,,4.090%,
,,,,,,,
16:00,USD,Yellow,Loan Officer Survey,,,,
,,,,,,,
16:00,USD,Orange,WASDE Report,,,,
,,,,,,,
18:00,USD,Orange,Federal Budget Balance (Apr),,256.4B,-161.0B,
,,,,,,,
23:01,GBP,Orange,BRC Retail Sales Monitor (YoY) (Apr),,2.4%,0.9%,
,,,,,,,
23:50,JPY,Yellow,BoJ Summary of Opinions,,,,
,,,,,,,
23:50,JPY,Yellow,M2 Money Stock (YoY),,0.6%,0.8%,
,,,,,,,
23:50,JPY,Yellow,M3 Money Supply (Apr),,,"2,202.2B",
,,,,,,,
"Tuesday, May 13, 2025",,,,,,,
00:30,AUD,Yellow,Westpac Consumer Sentiment (May),,,-6.0%,
,,,,,,,
01:30,AUD,Orange,Building Approvals (MoM) (Mar),,-8.8%,-0.3%,
,,,,,,,
01:30,AUD,Orange,NAB Business Confidence (Apr),,,-3,
,,,,,,,
01:30,AUD,Yellow,NAB Business Survey (Apr),,,4,
,,,,,,,
01:30,AUD,Yellow,Private House Approvals (Mar),,-4.5%,1.0%,
,,,,,,,
03:35,JPY,Yellow,30-Year JGB Auction,,,2.414%,
,,,,,,,
06:00,GBP,Yellow,Average Earnings ex Bonus (Mar),,5.7%,5.9%,
,,,,,,,
06:00,GBP,Orange,Average Earnings Index +Bonus (Mar),,5.2%,5.6%,
,,,,,,,
06:00,GBP,Orange,Claimant Count Change (Apr),,22.3K,18.7K,
,,,,,,,
06:00,GBP,Orange,Employment Change 3M/3M (MoM) (Mar),,120K,206K,
,,,,,,,
06:00,GBP,Orange,Unemployment Rate (Mar),,4.5%,4.4%,
,,,,,,,
08:40,EUR,Yellow,Spanish 3-Month Letras Auction,,,2.100%,
,,,,,,,
08:45,GBP,Orange,BoE MPC Member Pill Speaks,,,,
,,,,,,,
09:00,EUR,Orange,German ZEW Current Conditions (May),,-77.0,-81.2,
,,,,,,,
09:00,EUR,Orange,German ZEW Economic Sentiment (May),,9.8,-14.0,
,,,,,,,
09:00,EUR,Orange,ZEW Economic Sentiment (May),,-4.4,-18.5,
,,,,,,,
09:10,EUR,Yellow,Italian 3-Year BTP Auction,,,2.44%,
,,,,,,,
09:10,EUR,Yellow,Italian 7-Year BTP Auction,,,3.30%,
,,,,,,,
09:30,EUR,Yellow,German 2-Year Schatz Auction,,,1.670%,
,,,,,,,
09:30,ZAR,Yellow,Unemployment Rate (Q1),,,31.90%,
,,,,,,,
09:30,ZAR,Yellow,Unemployment (Q1),,,7.991M,
,,,,,,,
10:00,USD,Yellow,NFIB Small Business Optimism (Apr),,94.6,97.4,
,,,,,,,
10:00,EUR,Yellow,ECOFIN Meetings,,,,
,,,,,,,
10:30,INR,Orange,CPI (YoY) (Apr),,3.27%,3.34%,
,,,,,,,
11:00,BRL,Yellow,BCB Copom Meeting Minutes,,,,
,,,,,,,
12:00,EUR,Yellow,German Current Account Balance n.s.a (Mar),,,20.0B,
,,,,,,,
12:30,USD,Orange,Core CPI (YoY) (Apr),,2.8%,2.8%,
,,,,,,,
12:30,USD,RED,Core CPI (MoM) (Apr),,0.3%,0.1%,
,,,,,,,
